"","EA_Dataset","Reach_Name","SITE","PU_Gap_Code","Site_Type","COUNT","Event_Date","SAMPTYPE","LAB_NAME","LAB_ID","TAXONOMIST","LAB_TAXON","TAXON_NAME","NUM_IN_RC","IMMATURE","INDETERMINATE","CONDITION","DISTINCT","AGGREGATED","LAB_COMMENTS","KINGDOM","PHYLUM","SUBPHYLUM","CLASS","SUBCLASS","INFRACLASS","SUPERORDER","ORDER","SUBORDER","INFRAORDER","SUPERFAMILY","FAMILY","SUBFAMILY","TRIBE","SUBTRIBE","GENUS","SUBGENUS","SPECIES","SUBSPECIES","ADDITIONS","ITIS_TAXON_SN","LIFE_STAGE","ABUNDANCE","REP","LARGE_RARE_TAXA"
"75","2","kasky761","761",NA,NA,NA,"7/26/2016","Freshwater","EcoAnalysts","7824.02-3","J. Pfeiffer","2992","Lebertia sp.",NA,"N","N","N","Y",0,"","Animalia","Arthropoda","Chelicerata","Arachnida","Acari","","Acariformes","Trombidiformes","","","","Lebertiidae","","",NA,"Lebertia","","sp.",NA,NA,"83034","Larvae",1,NA,"N"
"76","2","kasky761","761",NA,NA,NA,"7/3/2017","Freshwater","EcoAnalysts","7824.04-1","A. Navesky","67","Nematoda",1,"N","N","N","Y",0,"","Animalia","Nematoda","","","","","","","","","","","","",NA,"","","",NA,NA,"59490","Larvae",1,NA,"N"
"77","2","kasky786","786",NA,NA,NA,"7/26/2016","Freshwater","EcoAnalysts","7824.02-4","J. Pfeiffer","2368","Corbicula sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula","","sp.",NA,NA,"81385","Larvae",1,NA,"N"
"78","2","kasky835","835",NA,NA,NA,"8/3/2017","Freshwater","EcoAnalysts","7824.04-34","A. Navesky","2368","Corbicula sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula","","sp.",NA,NA,"81385","Larvae",15,NA,"N"
"79","2","kasky884","884",NA,NA,NA,"6/6/2017","Freshwater","EcoAnalysts","7824.03-7","K. Guild","3329","Musculium transversum",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Musculium","","Musculium transversum",NA,NA,"81428","Adults",1,NA,"N"
"80","2","kasky92","92",NA,NA,NA,"6/29/2017","Freshwater","EcoAnalysts","7824.03-10","K. Guild","2368","Corbicula sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula","","sp.",NA,NA,"81385","Adults",5,NA,"N"
"81","2","kasky939","939",NA,NA,NA,"8/1/2016","Freshwater","EcoAnalysts","7824.02-5","L. Flaherty","9","Enchytraeidae",NA,"N","N","N","Y",0,"","Animalia","Annelida","","Clitellata","Oligochaeta","","","Enchytraeida","","","","Enchytraeidae","","",NA,"","","",NA,NA,"68510","Larvae",1,NA,"N"
"82","2","kasky939","939",NA,NA,NA,"7/10/2017","Freshwater","EcoAnalysts","7824.04-4","A. Navesky","67","Nematoda",NA,"N","N","N","Y",0,"","Animalia","Nematoda","","","","","","","","","","","","",NA,"","","",NA,NA,"59490","Larvae",1,NA,"N"
"83","2","kasky948","948",NA,NA,NA,"6/26/2017","Freshwater","EcoAnalysts","7824.04-17","A. Navesky","68","Nematomorpha",NA,"N","N","N","Y",0,"","Animalia","Nematomorpha","","","","","","","","","","","","",NA,"","","",NA,NA,"64183","Larvae",1,NA,"N"
"84","2","kasky950","950",NA,NA,NA,"6/4/2015","Freshwater","EcoAnalysts","7824.01-5","K. Guild","67","Nematoda",NA,"N","N","N","Y",0,"","Animalia","Nematoda","","","","","","","","","","","","",NA,"","","",NA,NA,"59490","Larvae",1,NA,"N"
"85","2","kasky957","957",NA,NA,NA,"7/19/2016","Freshwater","EcoAnalysts","7824.02-6","L. Flaherty","3049","Acanthocephala",1,"N","N","N","Y",0,"RC#4","Animalia","Acanthocephala","","","","","","","","","","","","",NA,"","","",NA,NA,"64238","Larvae",1,NA,"N"
"86","2","kasky957","957",NA,NA,NA,"7/10/2017","Freshwater","EcoAnalysts","7824.03-1","K. Guild","2368","Corbicula sp.",1,"N","N","N","Y",2,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula","","sp.",NA,NA,"81385","Adults",12,NA,"N"
"87","2","kasky969","969",NA,NA,NA,"6/19/2017","Freshwater","EcoAnalysts","7824.04-18","A. Navesky","102","Musculium sp.",NA,"Y","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Musculium","","sp.",NA,NA,"81427","Larvae",3,NA,"N"
"88","2","kasky992","992",NA,NA,NA,"6/28/2016","Freshwater","EcoAnalysts","7824.02-15","J. Pfeiffer","103","Pisidium sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Sphaeriidae","","",NA,"Pisidium","","sp.",NA,NA,"81400","Larvae",1,NA,"N"
"89","2","F15","F15",NA,NA,NA,"8/26/2015","Freshwater","EcoAnalysts","7824.04-30","A. Navesky","2368","Corbicula sp.",1,"N","N","N","Y",0,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula","","sp.",NA,NA,"81385","Larvae",6,NA,"N"
"90","2","F6","F6",NA,NA,NA,"9/10/2015","Freshwater","EcoAnalysts","7824.04-35","A. Navesky","2368","Corbicula sp.",NA,"N","N","N","Y",3,"","Animalia","Mollusca","","Bivalvia","Heterodonta","","","Veneroida","","","Corbiculoidea","Corbiculidae","","",NA,"Corbicula","","sp.",NA,NA,"81385","Larvae",21,NA,"N"
"91","2","F7","F7",NA,NA,NA,"9/14/2015","Freshwater","EcoAnalysts","7824.04-27","A. Navesky","93","Physa sp.",NA,"N","N","N","Y",0,"","Animalia","Mollusca","","Gastropoda","Heterobranchia","","","Hygrophila","","","Lymneoidea","Physidae","","",NA,"Physa","","sp.",NA,NA,"76677","Larvae",5,NA,"N"
"92","2","F9","F9",NA,NA,NA,"9/14/2015","Freshwater","EcoAnalysts","7824.04-32","A. Navesky","68","Nematomorpha",NA,"N","N","N","Y",0,"","Animalia","Nematomorpha","","","","","","","","","","","","",NA,"","","",NA,NA,"64183","Larvae",1,NA,"N"
