TAXON_NAME,LIFE_STAGE,Total_Abundance,Site_Frequency,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species,Subspecies
Dicrotendipes modestus,Pupae,3,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes modestus,NA
Dicrotendipes neomodestus,Larvae,1554,120,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes neomodestus,NA
Dicrotendipes neomodestus,Pupae,33,25,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes neomodestus,NA
Dicrotendipes simpsoni,Larvae,168,25,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes simpsoni,NA
Dicrotendipes simpsoni,Pupae,4,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,Dicrotendipes simpsoni,NA
Dicrotendipes sp.,Larvae,76,26,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Dicrotendipes,NA,sp.,NA
Diplocladius sp.,Larvae,27,15,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Diplocladius,NA,sp.,NA
Diptera,Larvae,6,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diptera,Pupae,6,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dixa sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Dixidae,NA,NA,NA,Dixa,NA,sp.,NA
Dixella sp.,Larvae,21,11,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Dixidae,NA,NA,NA,Dixella,NA,sp.,NA
Dolichopodidae,Larvae,8,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Dolichopodidae,NA,NA,NA,NA,NA,NA,NA
Dolichopodidae,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Dolichopodidae,NA,NA,NA,NA,NA,NA,NA
Dubiraphia sp.,Adults,268,33,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Dubiraphia,NA,sp.,NA
Dubiraphia sp.,Larvae,120,31,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Dubiraphia,NA,sp.,NA
Empididae,Pupae,3,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Empididae,NA,NA,NA,NA,NA,NA,NA
Enallagma sp.,Larvae,8,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Coenagrionidae,NA,NA,NA,Enallagma,NA,sp.,NA
Enchytraeidae,Larvae,19,15,Animalia,Annelida,NA,Clitellata,Oligochaeta,NA,NA,Enchytraeida,NA,NA,NA,Enchytraeidae,NA,NA,NA,NA,NA,NA,NA
Endochironomus sp.,Larvae,47,12,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Endochironomus,NA,sp.,NA
Enochrus sp.,Adults,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Enochrus,NA,sp.,NA
Enochrus sp.,Larvae,9,8,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Enochrus,NA,sp.,NA
Ephydridae,Larvae,10,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Ephydridae,NA,NA,NA,NA,NA,NA,NA
Ephydridae,Pupae,6,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Ephydridae,NA,NA,NA,NA,NA,NA,NA
Epitheca sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Corduliidae,NA,NA,NA,Epitheca,NA,sp.,NA
Erioptera sp.,Larvae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,Tipulidae,Limoniinae,Eriopterini,NA,Erioptera,NA,sp.,NA
Erpobdella sp.,Larvae,139,44,Animalia,Annelida,NA,Clitellata,Hirudinida,Euhirudinea,NA,Arhynchobdellida,Erpobdelliformes,NA,NA,Erpobdellidae,NA,NA,NA,Erpobdella,NA,sp.,NA
Erythemis simplicicollis,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Libellulidae,NA,NA,NA,Erythemis,NA,Erythemis simplicicollis,NA
Eukiefferiella claripennis gr.,Larvae,2,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Eukiefferiella,NA,Eukiefferiella claripennis gr.,NA
Ferrissia sp.,Larvae,2,2,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Planorboidea,Planorbidae,NA,NA,NA,Ferrissia,NA,sp.,NA
Forcipomyia sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Ceratopogonidae,Forcipomyiinae,NA,NA,Forcipomyia,NA,sp.,NA
Fossaria sp.,Larvae,2,1,Animalia,Mollusca,NA,Gastropoda,NA,NA,NA,Basommatophora,NA,NA,NA,Lymnaeidae,NA,NA,NA,Fossaria,NA,sp.,NA
Galba sp.,Larvae,7,5,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Lymneoidea,Lymnaeidae,NA,NA,NA,Galba,NA,sp.,NA
Gammaridae,Larvae,1,1,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Amphipoda,Gammaridea,NA,NA,Gammaridae,NA,NA,NA,NA,NA,NA,NA
Gammarus sp.,Larvae,1296,48,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Amphipoda,Gammaridea,NA,NA,Gammaridae,NA,NA,NA,Gammarus,NA,sp.,NA
Glossiphoniidae,Larvae,2,2,Animalia,Annelida,NA,Clitellata,Hirudinida,Euhirudinea,NA,Rhynchobdellida,NA,NA,NA,Glossiphoniidae,NA,NA,NA,NA,NA,NA,NA
Glyptotendipes sp.,Larvae,320,63,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Glyptotendipes,NA,sp.,NA
Glyptotendipes sp.,Pupae,3,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Glyptotendipes,NA,sp.,NA
Goeldichironomus sp.,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Goeldichironomus,NA,sp.,NA
Gomphidae,Larvae,3,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Gomphidae,NA,NA,NA,NA,NA,NA,NA
Gomphus sp.,Larvae,10,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Gomphidae,NA,NA,NA,Gomphus,NA,sp.,NA
Gonomyia sp.,Larvae,16,9,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,Tipulidae,Limoniinae,Eriopterini,NA,Gonomyia,NA,sp.,NA
Gyraulus sp.,Larvae,1,1,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Planorboidea,Planorbidae,NA,NA,NA,Gyraulus,NA,sp.,NA
Haemopis sp.,Larvae,1,1,Animalia,Annelida,NA,Clitellata,Hirudinida,Euhirudinea,NA,Arhynchobdellida,Hirudiniformes,NA,NA,Haemopidae,NA,NA,NA,Haemopis,NA,sp.,NA
Haliplidae,Adults,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Haliplidae,NA,NA,NA,NA,NA,NA,NA
Harnischia sp.,Larvae,16,11,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Harnischia,NA,sp.,NA
Harnischia sp.,Pupae,2,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Harnischia,NA,sp.,NA
Hedriodiscus/Odontomyia sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Stratiomyidae,NA,NA,NA,Hedriodiscus/Odontomyia,NA,sp.,NA
Helichus basalis,Adults,9,6,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Dryopidae,NA,NA,NA,Helichus,NA,Helichus basalis,NA
Helichus lithophilus,Adults,14,5,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Dryopidae,NA,NA,NA,Helichus,NA,Helichus lithophilus,NA
Helichus sp.,Adults,6,5,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Dryopidae,NA,NA,NA,Helichus,NA,sp.,NA
Helichus striatus,Adults,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Dryopidae,NA,NA,NA,Helichus,NA,Helichus striatus,NA
Helicopsyche borealis,Larvae,3,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Helicopsychidae,NA,NA,NA,Helicopsyche,NA,Helicopsyche borealis,NA
Helicopsyche borealis,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Helicopsychidae,NA,NA,NA,Helicopsyche,NA,Helicopsyche borealis,NA
Helisoma anceps,Larvae,1,1,Animalia,Mollusca,NA,Gastropoda,NA,NA,NA,Basommatophora,NA,NA,NA,Planorbidae,NA,NA,NA,Helisoma,NA,Helisoma anceps,NA
Helobdella papillata,Larvae,1,1,Animalia,Annelida,NA,Clitellata,Hirudinida,Euhirudinea,NA,Rhynchobdellida,NA,NA,NA,Glossiphoniidae,NA,NA,NA,Helobdella,NA,Helobdella papillata,NA
Helobdella sp.,Larvae,10,8,Animalia,Annelida,NA,Clitellata,Hirudinida,Euhirudinea,NA,Rhynchobdellida,NA,NA,NA,Glossiphoniidae,NA,NA,NA,Helobdella,NA,sp.,NA
Hemerodromia sp.,Larvae,9,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Empididae,NA,NA,NA,Hemerodromia,NA,sp.,NA
Hemerodromia sp.,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Empididae,NA,NA,NA,Hemerodromia,NA,sp.,NA
Heptagenia sp.,Larvae,34,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,Heptagenia,NA,sp.,NA
Heptageniidae,Larvae,7,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,NA,NA,NA,NA
Hetaerina americana,Larvae,3,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Calopterygidae,NA,NA,NA,Hetaerina,NA,Hetaerina americana,NA
Hetaerina sp.,Larvae,13,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Calopterygidae,NA,NA,NA,Hetaerina,NA,sp.,NA
Hexagenia bilineata,Larvae,4,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Ephemeridae,NA,NA,NA,Hexagenia,NA,Hexagenia bilineata,NA
Hexagenia sp.,Larvae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Ephemeridae,NA,NA,NA,Hexagenia,NA,sp.,NA
Hirudinida,Larvae,3,2,Animalia,Annelida,NA,Clitellata,Hirudinida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyalella sp.,Larvae,1279,58,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Amphipoda,Gammaridea,NA,NA,Hyalellidae,NA,NA,NA,Hyalella,NA,sp.,NA
Hydrobaenus sp.,Larvae,7,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Hydrobaenus,NA,sp.,NA
Hydrobiidae,Larvae,3,2,Animalia,Mollusca,NA,Gastropoda,NA,NA,NA,Neotaenioglossa,NA,NA,NA,Hydrobiidae,NA,NA,NA,NA,NA,NA,NA
Hydrophilidae,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,NA,NA,NA,NA
Hydroporinae,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Hydroporinae,NA,NA,NA,NA,NA,NA
Hydropsyche betteni,Larvae,67,16,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Hydropsyche,NA,Hydropsyche betteni,NA
Hydropsyche bidens,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Hydropsyche,NA,Hydropsyche bidens,NA
Hydropsyche bronta,Larvae,3,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Hydropsyche,NA,Hydropsyche bronta,NA
Hydropsyche dicantha,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Hydropsyche,NA,Hydropsyche dicantha,NA
Hydropsyche simulans,Larvae,179,11,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Hydropsyche,NA,Hydropsyche simulans,NA
Hydropsyche simulans,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Hydropsyche,NA,Hydropsyche simulans,NA
Hydropsyche sp.,Larvae,289,22,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Hydropsyche,NA,sp.,NA
Hydroptila sp.,Larvae,171,44,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydroptilidae,NA,NA,NA,Hydroptila,NA,sp.,NA
Hydroptila sp.,Pupae,4,4,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydroptilidae,NA,NA,NA,Hydroptila,NA,sp.,NA
Hydroptilidae,Larvae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydroptilidae,NA,NA,NA,NA,NA,NA,NA
Hydroptilidae,Pupae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydroptilidae,NA,NA,NA,NA,NA,NA,NA
Hydrosmittia sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Hydrosmittia,NA,sp.,NA
Hydryphantidae,Larvae,1,1,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Hydryphantidae,NA,NA,NA,NA,NA,NA,NA
Hygrobates sp.,Adults,5,3,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Hygrobatidae,NA,NA,NA,Hygrobates,NA,sp.,NA
Hygrobates sp.,Larvae,2,2,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Hygrobatidae,NA,NA,NA,Hygrobates,NA,sp.,NA
Ilybius sp.,Adults,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Colymbetinae,NA,NA,Ilybius,NA,sp.,NA
Ischnura sp.,Larvae,247,37,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Coenagrionidae,NA,NA,NA,Ischnura,NA,sp.,NA
Isonychia sp.,Larvae,4,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Isonychiidae,NA,NA,NA,Isonychia,NA,sp.,NA
Kiefferulus sp.,Larvae,16,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Kiefferulus,NA,sp.,NA
Kloosia sp.,Larvae,7,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Kloosia,NA,sp.,NA
Labiobaetis frondalis,Larvae,34,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Labiobaetis,NA,Labiobaetis frondalis,NA
Labrundinia sp.,Larvae,395,91,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Labrundinia,NA,sp.,NA
Labrundinia sp.,Pupae,8,7,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Labrundinia,NA,sp.,NA
Laccophilus fasciatus,Adults,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Laccophilinae,Laccophilini,NA,Laccophilus,NA,Laccophilus fasciatus,NA
Larsia sp.,Larvae,40,16,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Larsia,NA,sp.,NA
Lebertia sp.,Larvae,3,2,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Lebertiidae,NA,NA,NA,Lebertia,NA,sp.,NA
Lepidoptera,Larvae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Lepidoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lestes sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Lestidae,NA,NA,NA,Lestes,NA,sp.,NA
Leucrocuta sp.,Larvae,36,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,Leucrocuta,NA,sp.,NA
Libellula semifasciata,Larvae,5,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Libellulidae,NA,NA,NA,Libellula,NA,Libellula semifasciata,NA
Libellula sp.,Larvae,9,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Libellulidae,NA,NA,NA,Libellula,NA,sp.,NA
Libellulidae,Larvae,4,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Libellulidae,NA,NA,NA,NA,NA,NA,NA
Libellulidae/Corduliidae,Larvae,3,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Libellulidae/Corduliidae,NA,NA,NA,NA,NA,NA,NA
Limnesia sp.,Larvae,1,1,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Limnesiidae,NA,NA,NA,Limnesia,NA,sp.,NA
Limnophyes sp.,Larvae,5,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Limnophyes,NA,sp.,NA
Limonia sp.,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,Tipulidae,Limoniinae,Limoniini,NA,Limonia,NA,sp.,NA
Lipiniella sp.,Larvae,3,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Lipiniella,NA,sp.,NA
Lirceus sp.,Larvae,38,1,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Isopoda,Asellota,NA,Aselloidea,Asellidae,NA,NA,NA,Lirceus,NA,sp.,NA
Lopescladius sp.,Larvae,13,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Lopescladius,NA,sp.,NA
Lumbricina,Larvae,24,19,Animalia,Annelida,NA,Clitellata,Oligochaeta,NA,NA,Opisthopora,Lumbricina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lymnaeidae,Larvae,9,6,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Lymneoidea,Lymnaeidae,NA,NA,NA,NA,NA,NA,NA
Lype diversa,Larvae,6,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Psychomyiidae,NA,NA,NA,Lype,NA,Lype diversa,NA
Maccaffertium exiguum,Larvae,21,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,Maccaffertium,NA,Maccaffertium exiguum,NA
Maccaffertium sp.,Larvae,33,10,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,Maccaffertium,NA,sp.,NA
Maccaffertium terminatum,Larvae,29,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,Maccaffertium,NA,Maccaffertium terminatum,NA
Macromia illinoiensis,Larvae,17,11,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Macromiidae,NA,NA,NA,Macromia,NA,Macromia illinoiensis,NA
Macromia sp.,Larvae,26,16,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Macromiidae,NA,NA,NA,Macromia,NA,sp.,NA
Macromia taeniolata,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Macromiidae,NA,NA,NA,Macromia,NA,Macromia taeniolata,NA
Macromiidae,Larvae,3,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Macromiidae,NA,NA,NA,NA,NA,NA,NA
Macronychus glabratus,Adults,47,18,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Macronychus,NA,Macronychus glabratus,NA
Macronychus glabratus,Larvae,27,18,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Macronychus,NA,Macronychus glabratus,NA
Microchironomus sp.,Larvae,4,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Microchironomus,NA,sp.,NA
Micromenetus sp.,Larvae,17,8,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Planorboidea,Planorbidae,NA,NA,NA,Micromenetus,NA,sp.,NA
Micropsectra sp.,Larvae,49,17,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Micropsectra,NA,sp.,NA
Microtendipes pedellus gr.,Larvae,183,34,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Microtendipes,NA,Microtendipes pedellus gr.,NA
Microtendipes pedellus gr.,Pupae,4,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Microtendipes,NA,Microtendipes pedellus gr.,NA
Mideopsis sp.,Adults,2,2,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Mideopsidae,NA,NA,NA,Mideopsis,NA,sp.,NA
Mideopsis sp.,Larvae,1,1,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Mideopsidae,NA,NA,NA,Mideopsis,NA,sp.,NA
