TAXON_NAME,Total_Abundance,Site_Frequency,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species,Subspecies
Harnischia sp.,18,11,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Harnischia,NA,sp.,NA
Hedriodiscus/Odontomyia sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Stratiomyidae,NA,NA,NA,Hedriodiscus/Odontomyia,NA,sp.,NA
Helichus basalis,9,6,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Dryopidae,NA,NA,NA,Helichus,NA,Helichus basalis,NA
Helichus lithophilus,14,5,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Dryopidae,NA,NA,NA,Helichus,NA,Helichus lithophilus,NA
Helichus sp.,6,5,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Dryopidae,NA,NA,NA,Helichus,NA,sp.,NA
Helichus striatus,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Dryopidae,NA,NA,NA,Helichus,NA,Helichus striatus,NA
Helicopsyche borealis,4,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Helicopsychidae,NA,NA,NA,Helicopsyche,NA,Helicopsyche borealis,NA
Helisoma anceps,1,1,Animalia,Mollusca,NA,Gastropoda,NA,NA,NA,Basommatophora,NA,NA,NA,Planorbidae,NA,NA,NA,Helisoma,NA,Helisoma anceps,NA
Helobdella papillata,1,1,Animalia,Annelida,NA,Clitellata,Hirudinida,Euhirudinea,NA,Rhynchobdellida,NA,NA,NA,Glossiphoniidae,NA,NA,NA,Helobdella,NA,Helobdella papillata,NA
Helobdella sp.,10,8,Animalia,Annelida,NA,Clitellata,Hirudinida,Euhirudinea,NA,Rhynchobdellida,NA,NA,NA,Glossiphoniidae,NA,NA,NA,Helobdella,NA,sp.,NA
Hemerodromia sp.,10,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Empididae,NA,NA,NA,Hemerodromia,NA,sp.,NA
Heptagenia sp.,34,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,Heptagenia,NA,sp.,NA
Heptageniidae,7,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,NA,NA,NA,NA
Hetaerina americana,3,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Calopterygidae,NA,NA,NA,Hetaerina,NA,Hetaerina americana,NA
Hetaerina sp.,13,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Calopterygidae,NA,NA,NA,Hetaerina,NA,sp.,NA
Hexagenia bilineata,4,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Ephemeridae,NA,NA,NA,Hexagenia,NA,Hexagenia bilineata,NA
Hexagenia sp.,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Ephemeridae,NA,NA,NA,Hexagenia,NA,sp.,NA
Hirudinida,3,2,Animalia,Annelida,NA,Clitellata,Hirudinida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hyalella sp.,1279,58,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Amphipoda,Gammaridea,NA,NA,Hyalellidae,NA,NA,NA,Hyalella,NA,sp.,NA
Hydrobaenus sp.,7,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Hydrobaenus,NA,sp.,NA
Hydrobiidae,3,2,Animalia,Mollusca,NA,Gastropoda,NA,NA,NA,Neotaenioglossa,NA,NA,NA,Hydrobiidae,NA,NA,NA,NA,NA,NA,NA
Hydrophilidae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,NA,NA,NA,NA
Hydroporinae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Hydroporinae,NA,NA,NA,NA,NA,NA
Hydropsyche betteni,67,16,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Hydropsyche,NA,Hydropsyche betteni,NA
Hydropsyche bidens,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Hydropsyche,NA,Hydropsyche bidens,NA
Hydropsyche bronta,3,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Hydropsyche,NA,Hydropsyche bronta,NA
Hydropsyche dicantha,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Hydropsyche,NA,Hydropsyche dicantha,NA
Hydropsyche simulans,180,11,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Hydropsyche,NA,Hydropsyche simulans,NA
Hydropsyche sp.,289,22,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydropsychidae,Hydropsychinae,NA,NA,Hydropsyche,NA,sp.,NA
Hydroptila sp.,175,44,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydroptilidae,NA,NA,NA,Hydroptila,NA,sp.,NA
Hydroptilidae,4,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydroptilidae,NA,NA,NA,NA,NA,NA,NA
Hydrosmittia sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Hydrosmittia,NA,sp.,NA
Hydryphantidae,1,1,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Hydryphantidae,NA,NA,NA,NA,NA,NA,NA
Hygrobates sp.,7,5,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Hygrobatidae,NA,NA,NA,Hygrobates,NA,sp.,NA
Ilybius sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Colymbetinae,NA,NA,Ilybius,NA,sp.,NA
Ischnura sp.,247,37,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Coenagrionidae,NA,NA,NA,Ischnura,NA,sp.,NA
Isonychia sp.,4,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Isonychiidae,NA,NA,NA,Isonychia,NA,sp.,NA
Kiefferulus sp.,16,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Kiefferulus,NA,sp.,NA
Kloosia sp.,7,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Kloosia,NA,sp.,NA
Labiobaetis frondalis,34,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Labiobaetis,NA,Labiobaetis frondalis,NA
Labrundinia sp.,403,91,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Labrundinia,NA,sp.,NA
Laccophilus fasciatus,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Laccophilinae,Laccophilini,NA,Laccophilus,NA,Laccophilus fasciatus,NA
Larsia sp.,40,16,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Larsia,NA,sp.,NA
Lebertia sp.,3,2,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Lebertiidae,NA,NA,NA,Lebertia,NA,sp.,NA
Lepidoptera,2,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Lepidoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lestes sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Zygoptera,NA,NA,Lestidae,NA,NA,NA,Lestes,NA,sp.,NA
Leucrocuta sp.,36,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,Leucrocuta,NA,sp.,NA
Libellula semifasciata,5,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Libellulidae,NA,NA,NA,Libellula,NA,Libellula semifasciata,NA
Libellula sp.,9,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Libellulidae,NA,NA,NA,Libellula,NA,sp.,NA
Libellulidae,4,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Libellulidae,NA,NA,NA,NA,NA,NA,NA
Libellulidae/Corduliidae,3,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Libellulidae/Corduliidae,NA,NA,NA,NA,NA,NA,NA
Limnesia sp.,1,1,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Limnesiidae,NA,NA,NA,Limnesia,NA,sp.,NA
Limnophyes sp.,5,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Limnophyes,NA,sp.,NA
Limonia sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,Tipulidae,Limoniinae,Limoniini,NA,Limonia,NA,sp.,NA
Lipiniella sp.,3,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Lipiniella,NA,sp.,NA
Lirceus sp.,38,1,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Peracarida,Isopoda,Asellota,NA,Aselloidea,Asellidae,NA,NA,NA,Lirceus,NA,sp.,NA
Lopescladius sp.,13,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Lopescladius,NA,sp.,NA
Lumbricina,24,19,Animalia,Annelida,NA,Clitellata,Oligochaeta,NA,NA,Opisthopora,Lumbricina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lymnaeidae,9,6,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Lymneoidea,Lymnaeidae,NA,NA,NA,NA,NA,NA,NA
Lype diversa,6,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Psychomyiidae,NA,NA,NA,Lype,NA,Lype diversa,NA
Maccaffertium exiguum,21,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,Maccaffertium,NA,Maccaffertium exiguum,NA
Maccaffertium sp.,33,10,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,Maccaffertium,NA,sp.,NA
Maccaffertium terminatum,29,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,Maccaffertium,NA,Maccaffertium terminatum,NA
Macromia illinoiensis,17,11,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Macromiidae,NA,NA,NA,Macromia,NA,Macromia illinoiensis,NA
Macromia sp.,26,16,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Macromiidae,NA,NA,NA,Macromia,NA,sp.,NA
Macromia taeniolata,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Macromiidae,NA,NA,NA,Macromia,NA,Macromia taeniolata,NA
Macromiidae,3,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Macromiidae,NA,NA,NA,NA,NA,NA,NA
Macronychus glabratus,74,22,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Macronychus,NA,Macronychus glabratus,NA
Microchironomus sp.,4,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Microchironomus,NA,sp.,NA
Micromenetus sp.,17,8,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Planorboidea,Planorbidae,NA,NA,NA,Micromenetus,NA,sp.,NA
Micropsectra sp.,49,17,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Micropsectra,NA,sp.,NA
Microtendipes pedellus gr.,187,34,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Microtendipes,NA,Microtendipes pedellus gr.,NA
Mideopsis sp.,3,3,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Mideopsidae,NA,NA,NA,Mideopsis,NA,sp.,NA
Muscidae,6,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Muscidae,NA,NA,NA,NA,NA,NA,NA
Musculium sp.,237,40,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,Musculium,NA,sp.,NA
Musculium transversum,119,12,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,Musculium,NA,Musculium transversum,NA
Naididae,254,70,Animalia,Annelida,NA,Clitellata,Oligochaeta,NA,NA,Tubificida,NA,NA,NA,Naididae,NA,NA,NA,NA,NA,NA,NA
Nanocladius sp.,98,42,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Nanocladius,NA,sp.,NA
Nasiaeschna pentacantha,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Aeshnidae,NA,NA,NA,Nasiaeschna,NA,Nasiaeschna pentacantha,NA
Natarsia sp.,8,7,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Natarsiini,NA,Natarsia,NA,sp.,NA
Nectopsyche candida,14,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Leptoceridae,NA,NA,NA,Nectopsyche,NA,Nectopsyche candida,NA
Nectopsyche diarina,18,5,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Leptoceridae,NA,NA,NA,Nectopsyche,NA,Nectopsyche diarina,NA
Nectopsyche sp.,63,11,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Leptoceridae,NA,NA,NA,Nectopsyche,NA,sp.,NA
Nematoda,5,4,Animalia,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nematomorpha,8,8,Animalia,Nematomorpha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nemotelus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Stratiomyidae,NA,NA,NA,Nemotelus,NA,sp.,NA
Neoplea sp.,3,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Pleidae,NA,NA,NA,Neoplea,NA,sp.,NA
Neoporus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Hydroporinae,Hydroporini,NA,Neoporus,NA,sp.,NA
Neotrichia sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydroptilidae,NA,NA,NA,Neotrichia,NA,sp.,NA
Neumania sp.,8,8,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Unionicolidae,NA,NA,NA,Neumania,NA,sp.,NA
Neureclipsis sp.,3,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Polycentropodidae,NA,NA,NA,Neureclipsis,NA,sp.,NA
Neurocordulia sp.,4,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Corduliidae,NA,NA,NA,Neurocordulia,NA,sp.,NA
Nilotanypus fimbriatus,9,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Nilotanypus,NA,Nilotanypus fimbriatus,NA
Nilotanypus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Nilotanypus,NA,sp.,NA
Nilothauma sp.,8,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Nilothauma,NA,sp.,NA
Nixe sp.,3,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,Nixe,NA,sp.,NA
Notonecta sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Notonectidae,NA,NA,NA,Notonecta,NA,sp.,NA
Odontomyia sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Stratiomyidae,NA,NA,NA,Odontomyia,NA,sp.,NA
Oecetis cinerascens,4,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Leptoceridae,NA,NA,NA,Oecetis,NA,Oecetis cinerascens,NA
Oecetis sp.,15,10,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Leptoceridae,NA,NA,NA,Oecetis,NA,sp.,NA
Optioservus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Optioservus,NA,sp.,NA
Orconectes sp.,54,14,Animalia,Arthropoda,Crustacea,Malacostraca,Eumalacostraca,NA,Eucarida,Decapoda,Pleocyemata,Astacidea,Astacoidea,Cambaridae,NA,NA,NA,Orconectes,NA,sp.,NA
Orthocladiinae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,NA,NA,NA,NA
Orthocladius Complex,81,25,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Orthocladius,NA,Orthocladius Complex,NA
Ostracoda,14,7,Animalia,Arthropoda,Crustacea,Ostracoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oxus sp.,1,1,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Oxidae,NA,NA,NA,Oxus,NA,sp.,NA
Oxyethira sp.,4,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Hydroptilidae,NA,NA,NA,Oxyethira,NA,sp.,NA
Palmacorixa sp.,2,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,Palmacorixa,NA,sp.,NA
Parachironomus sp.,103,39,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Parachironomus,NA,sp.,NA
Paracladopelma sp.,114,54,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Paracladopelma,NA,sp.,NA
Paracloeodes minutus,27,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Paracloeodes,NA,Paracloeodes minutus,NA
Paracloeodes sp.,10,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Baetidae,NA,NA,NA,Paracloeodes,NA,sp.,NA
Paracymus sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Paracymus,NA,sp.,NA
Parakiefferiella sp.,10,7,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Parakiefferiella,NA,sp.,NA
Paralauterborniella nigrohalteralis,35,16,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Paralauterborniella,NA,Paralauterborniella nigrohalteralis,NA
Paramerina sp.,7,4,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Paramerina,NA,sp.,NA
Parametriocnemus sp.,51,28,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Parametriocnemus,NA,sp.,NA
Paraphaenocladius sp.,14,10,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Paraphaenocladius,NA,sp.,NA
Paratanytarsus sp.,2192,143,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Paratanytarsus,NA,sp.,NA
Paratendipes sp.,935,105,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Paratendipes,NA,sp.,NA
Pelocoris sp.,2,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Naucoridae,NA,NA,NA,Pelocoris,NA,sp.,NA
Peltodytes sp.,37,19,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Haliplidae,NA,NA,NA,Peltodytes,NA,sp.,NA
Pentaneura sp.,26,8,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Pentaneura,NA,sp.,NA
Perlesta sp.,16,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Plecoptera,NA,NA,NA,Perlidae,NA,NA,NA,Perlesta,NA,sp.,NA
Phaenopsectra sp.,852,123,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Phaenopsectra,NA,sp.,NA
Phryganeidae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Phryganeidae,NA,NA,NA,NA,NA,NA,NA
Physa sp.,1354,108,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Lymneoidea,Physidae,NA,NA,NA,Physa,NA,sp.,NA
Pilaria sp.,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,Tipulidae,Limoniinae,Hexatomini,NA,Pilaria,NA,sp.,NA
Pisidium sp.,116,30,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,Pisidium,NA,sp.,NA
Placobdella ornata,12,11,Animalia,Annelida,NA,Clitellata,Hirudinida,Euhirudinea,NA,Rhynchobdellida,NA,NA,NA,Glossiphoniidae,NA,NA,NA,Placobdella,NA,Placobdella ornata,NA
Placobdella sp.,2,2,Animalia,Annelida,NA,Clitellata,Hirudinida,Euhirudinea,NA,Rhynchobdellida,NA,NA,NA,Glossiphoniidae,NA,NA,NA,Placobdella,NA,sp.,NA
Planorbella sp.,19,15,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Planorboidea,Planorbidae,NA,NA,NA,Planorbella,NA,sp.,NA
Planorbidae,1,1,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Planorboidea,Planorbidae,NA,NA,NA,NA,NA,NA,NA
Plathemis lydia,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Libellulidae,NA,NA,NA,Plathemis,NA,Plathemis lydia,NA
